CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,wajv9l,607.79,Spain,Female,41.58,2.73,59784.77,1,1,0,166367.05,0
2,45vfky,607.87,France,Female,41.29,3.7,148285.82,1,0,1,14056.64,0
3,63isyp,540.25,Spain,Male,33.25,0.43,19290.4,1,1,0,131699.43,1
4,rtk6km,733.04,Germany,Female,35.32,5.81,29098.47,2,1,1,55417.73,0
5,5bgeoo,705.71,Germany,Male,36.78,1.45,73781.26,2,1,0,112335.86,0
6,gptioh,731.25,France,Female,27.09,1.82,92365.64,1,1,0,141796.78,0
7,taepga,702.99,France,Male,44.13,5.59,127621.37,1,1,1,161354.91,0
8,jrfskc,587.1,France,Male,37.91,3.9,0,1,1,0,152114.85,0
9,iug76r,777.39,France,Female,33.6,5.68,161049.95,1,1,1,69015.21,0
10,quqmpa,520.87,France,Female,36.71,2.06,120221.06,1,1,1,199992.48,1
11,wmmx70,803.86,Spain,Male,28.99,8.52,181598.07,2,1,0,158359.05,0
12,6hjry2,610.12,France,Male,34.75,7.72,72678.86,2,0,0,1157.72,0
13,9kgdga,521.45,Spain,Male,34.24,3.45,175360.07,2,1,0,25707,0
14,0prfvx,639.87,France,Male,54.55,3,0,2,1,0,11.58,0
15,yjwwmy,578.85,Spain,Female,45.3,10,98663.58,1,1,0,140433.98,0
16,n0c2w9,582.39,Spain,Male,36.49,4.72,102328.31,1,1,1,11.58,0
17,69tb5s,667.65,Spain,Male,56.84,10,59544.54,2,0,0,48612.5,1
18,2qfyuh,495.56,France,Male,45.91,8.06,155576.79,1,1,1,52115.58,0
19,xypl32,649.12,France,Female,38.54,5.38,109949.31,2,0,0,77354.42,0
20,sb2eru,477.39,France,Male,51.69,5.77,36440.37,2,0,1,106577.87,0
21,z26j2s,767.49,Germany,Male,26.23,6.46,49168.1,2,0,1,98571.58,0
22,lc2hyz,751.98,Germany,Female,30.75,6.84,23777.02,2,1,1,46837.95,0
23,qq5772,647.07,Germany,Female,47.8,0,163868.52,2,1,1,15064.55,0
24,3ru5gx,546.76,Spain,Female,24.09,6.9,34686.15,2,1,1,77994.22,0
25,vqswl3,556.25,Germany,Male,18,8.37,103712.72,1,1,0,38862.41,0
26,dbt1o4,574.64,Germany,Female,52.44,2.82,183453.36,2,1,0,67648.05,0
27,ms4r3b,760.41,Spain,Male,31.62,1.42,0,2,1,0,56820.86,0
28,wubml0,719.93,France,Male,34.51,3.93,115596.62,1,0,0,50987.37,0
29,27h23w,588.1,Germany,Female,42.28,2.55,54492.82,2,1,1,11.58,0
30,m7sx26,575.02,Spain,Male,59.57,6.44,126533.54,1,0,1,75038.04,0
31,ljo3h2,756.72,Spain,Female,47.59,3.29,68459.49,2,1,1,91370.38,0
32,my6jqs,640.71,Germany,Male,26.42,1.27,77604.06,1,1,1,73601.72,0
33,4m7h92,683.22,Germany,Male,48.53,0,42185.8,1,1,1,127841.15,1
34,d4dc5a,666.08,Spain,Male,36.54,5.6,11324.95,1,0,1,185823.32,0
35,tbc28z,634.97,Spain,Male,44.68,6.47,202379.65,2,0,0,91185.1,0
36,ywn859,581.79,Spain,Female,50.47,4.43,73816.25,1,1,0,11.58,0
37,wvi6so,653.64,France,Male,33.44,4.85,0,2,1,1,34683.84,0
38,sp9l0e,664.64,France,Male,39.76,3.27,61309.27,1,1,1,50351.56,0
39,vzvx0r,732.22,France,Female,46.27,5.96,42342.72,2,1,0,63779.66,0
40,s1q440,682.21,France,Male,30.56,3.48,117101.2,2,1,1,83921.83,0
41,jcqppn,648.13,France,Male,31.44,2.63,250898.09,2,0,1,67946,0
42,sf7zsh,668.21,Spain,Male,45.96,1.95,53439.49,2,0,1,55509.95,0
43,frvriz,666.18,Spain,Female,30.59,5.08,61899.76,2,1,1,33390.61,0
44,h4cl84,580.24,France,Female,63.45,8.01,136561.59,1,1,1,79376.06,1
45,9rv8b8,631.08,France,Male,28.5,3.99,27315.05,2,1,0,11.58,0
46,seev30,786.78,Spain,Male,41.44,3.43,112584.49,2,1,1,186580.85,0
47,t0pnym,627.29,Spain,Male,50.56,0.08,172957.34,2,0,1,69797.6,0
48,ro3j4w,587.35,Germany,Female,45.93,6.53,70274.25,2,1,0,40006.96,1
49,26jyqq,569,Spain,Female,37.46,3.4,119152.86,2,1,1,199992.48,0
50,2zwky2,753.44,Germany,Female,33.65,4.76,137089.18,2,1,1,98229.34,0
51,2vn21p,686.29,France,Male,29.01,4.02,107714.68,1,1,0,89768.12,1
52,j4fguz,404.68,Spain,Female,40.95,5.91,129266.07,2,1,0,29116.42,1
53,eczoq4,489.5,Spain,Female,18,10,77365.84,1,1,0,94551.06,1
54,i3pe5v,668.55,France,Male,45.7,1.3,62489.61,2,1,1,77249.32,0
55,grkk67,668.22,France,Female,52.12,8.96,67592.09,2,0,0,48449.39,0
56,1p8eha,637.62,France,Male,43.43,7.16,36571.97,1,1,0,142144.25,0
57,b94l3i,540.09,Germany,Male,47.09,7.33,54019.47,1,1,1,11.58,0
58,1b0hb6,610.9,France,Female,43.97,5.3,101526.06,1,1,1,117504.71,0
59,k1ud27,678.23,France,Male,44.3,9.04,47302.78,1,0,0,110284.92,0
60,wgdg5r,609.47,Germany,Female,29.89,2.52,24344.83,1,1,0,98581.12,0
61,m7e8ur,850,France,Male,35.53,5.34,127837.7,1,0,1,155978.21,0
62,b1mpgs,750.2,Germany,Male,25.94,6.06,134770.12,2,1,1,128587.8,0
63,7uq9n4,792.51,France,Female,18,4.09,43028.45,2,1,1,11.58,0
64,jguq1r,556.6,France,Male,47.93,7.82,37047.24,1,0,0,46721.33,1
65,ubae38,488.59,France,Male,47.12,8.82,19127.95,2,1,1,16644.91,0
66,nhh7ik,554.67,France,Female,30.87,7.51,0,2,1,0,55550.75,0
67,oibanl,719.29,Germany,Male,60.94,5.36,42722,1,1,1,125075.91,0
68,slo7dj,706.45,Spain,Female,54.44,1.46,65500.24,2,1,0,119250.44,0
69,639gwj,710.14,France,Male,27.88,4.33,154000.92,2,1,1,139484.74,1
70,7ut4g7,471.64,France,Female,26.86,0.51,40523.97,1,0,0,92880.94,0
71,82qi3t,682.05,Spain,Female,33.57,5.36,223162.29,1,0,1,98615.79,0
72,n53h1i,632.61,Germany,Female,36.97,4.75,0,2,1,0,65089.29,0
73,1k5hrq,742.7,Germany,Male,31.43,5.85,61740.28,1,1,1,84706.12,0
74,2b3hlq,667.24,France,Female,43.91,5.41,116243.3,2,0,0,70516.3,0
75,7ni3yw,850,Germany,Female,45.1,0.77,125214,1,0,0,182839.28,1
76,8he99v,658.75,Spain,Female,49.27,1.06,178308.01,2,1,0,83524.9,0
77,ojfxct,418.17,France,Female,31.44,6.07,150039.88,2,0,1,11.58,0
78,nm7vte,802,France,Female,44.61,10,80757.96,1,1,0,2979.04,0
79,8xy39g,614.57,Spain,Female,20.4,7.59,90760.04,2,1,1,56333.98,0
80,1ftya4,833.31,France,Female,26.21,4.83,0,2,0,0,99335.79,0
81,domut0,638.25,Germany,Male,29.14,7.79,110622.19,2,1,1,189519.05,0
82,z0tczj,612.48,Spain,Male,47.95,8.2,75753.53,2,1,1,97074.56,0
83,g3cp0l,567.03,Spain,Female,36.58,3.17,95502.8,2,1,0,68553.34,1
84,dsdrwh,715.82,France,Female,24.04,7.75,217816.8,2,0,1,85435.2,0
85,4fscel,651.86,France,Female,42.49,7.08,76316.8,1,1,0,146203.7,0
86,ht6cuw,850,France,Female,18,5.8,0,1,0,0,18067.21,0
87,shf989,541.31,Spain,Male,23.09,4.31,178477.58,1,1,1,31660.4,0
88,9z16d2,523.9,France,Female,48.82,3.41,79791.11,1,1,0,2451.45,0
89,uwmm2j,646.28,France,Male,25.82,3.84,18973.19,1,0,1,199992.48,0
90,2gdns3,712.88,France,Female,18,5.11,65210.61,2,1,0,71591.7,0
